Grocery Stores,Food Outlets,Tourist Destinations,Hotels,Educational Institutions,Hospitals,Airports,Residential Housing Density,Commercial Housing Density,Fuel Stations & Car Wash,Apparels,Height Restrictor,Border Zone,Public Transportation,latitude,longitude,radius_miles
0,2,0,0,0,0,0,17,5,0,0,0,0,0,45.0591468,-83.4746932,1
0,3,0,0,0,0,0,0,1,0,0,0,0,0,43.8256988,-83.0047454,1
0,8,0,1,0,0,0,0,2,0,0,0,0,0,43.2529182,-83.7658004,1
0,19,0,0,0,1,0,0,6,0,0,0,0,0,43.4820299,-83.9824788,1
0,2,0,0,0,0,0,16,5,0,0,0,0,0,45.0611621,-83.4746063,1
0,13,0,2,0,0,2,3,17,0,0,0,0,0,43.66317,-84.2431904,1
0,11,1,0,0,1,0,34,1,0,0,0,0,0,44.7431122,-85.6445616,1
0,7,0,0,0,0,0,9,10,0,0,0,0,0,46.5530229,-87.4717557,1
0,13,0,0,0,1,1,134,8,0,0,0,0,0,45.7514114,-87.0866699,1
0,3,1,0,0,0,0,45,4,0,0,0,0,0,45.3469047,-84.9648513,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2742424,-84.2742614,1
0,2,0,0,0,0,0,0,7,0,0,0,0,0,46.5487136,-87.4747672,1
0,15,0,0,0,1,1,35,8,0,0,0,0,0,45.7492853,-87.0854277,1
0,3,0,0,0,1,1,16,13,0,0,0,0,0,41.9339359,-85.6544184,1
0,12,0,0,0,0,0,0,18,0,0,0,0,0,43.1564924,-86.2032498,1
0,1,0,0,0,0,0,0,1,0,0,0,0,0,42.9109204,-85.62924,1
0,12,0,0,0,0,0,33,6,0,0,0,0,0,42.969937,-85.7786065,1
0,9,0,0,0,0,0,51,13,0,0,0,0,0,42.2340066,-83.6770729,1
0,7,0,0,0,0,0,139,13,0,0,0,0,0,42.5001128,-83.2823578,1
0,6,0,0,1,0,0,188,48,0,0,0,0,0,42.4122461,-83.2528348,1
0,4,0,0,0,0,0,8,21,0,0,0,0,0,42.4446792,-83.1192245,1
0,4,0,0,0,1,1,0,0,0,0,0,0,0,43.3989601,-84.6662143,1
0,11,0,1,1,1,1,41,1,0,0,0,0,0,42.2789819,-83.2040801,1
0,3,0,0,0,0,0,45,4,0,0,0,0,0,45.3459991,-84.9670953,1
0,5,0,0,0,1,1,17,5,0,0,0,0,0,42.4523698,-85.6601861,1
0,1,0,1,0,0,0,23,0,0,0,0,0,0,44.7708506,-85.4771958,1
0,3,0,0,0,0,1,0,0,0,0,0,0,0,45.0249741,-84.7233385,1
0,1,0,1,0,0,0,23,0,0,0,0,0,0,44.7708506,-85.4771958,1
0,4,0,0,0,0,1,0,1,0,0,0,0,0,44.2837106,-85.4050028,1
0,6,0,0,1,2,1,0,12,0,0,0,0,0,43.614212,-84.7648504,1
0,4,0,0,0,1,1,0,0,0,0,0,0,0,43.3983948,-84.6624102,1
0,3,0,0,0,0,0,0,1,0,0,0,0,0,43.217321,-85.5792888,1
0,3,0,0,0,0,1,0,0,0,0,0,0,0,45.0270784,-84.7230404,1
0,2,0,0,1,0,1,16,1,0,0,0,0,0,42.5659498,-84.444688,1
0,5,0,0,0,0,2,0,9,0,0,0,0,0,42.2712674,-84.4505632,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,42.5551697,-84.8142953,1
0,18,0,0,0,0,0,68,4,0,0,0,0,0,42.1439784,-83.2300745,1
0,0,0,0,0,1,0,0,2,0,0,0,0,0,42.773573,-84.4178103,1
0,5,0,5,0,0,0,17,2,0,0,0,0,0,42.2320789,-83.4831806,1
0,5,0,0,0,0,0,0,0,0,0,0,0,0,42.0262862,-86.5160359,1
0,12,0,2,0,0,0,125,0,0,0,0,0,0,42.2003355,-83.2613078,1
0,6,0,0,0,0,0,5,3,0,0,0,0,0,42.286165,-83.8419384,1
0,17,0,1,0,0,0,307,10,0,0,0,0,0,42.4356869,-83.4371012,1
0,16,1,4,0,0,0,38,10,0,0,0,0,0,42.239608,-83.766545,1
0,12,0,0,0,0,0,75,0,0,0,0,0,0,42.323266,-85.5153914,1
0,1,0,0,1,0,0,11,1,0,0,0,0,0,42.2985975,-85.6795672,1
